"city","year","weekofyear","total_cases"
"sj",2008,18,2
"sj",2008,19,9
"sj",2008,20,20
"sj",2008,21,44
"sj",2008,22,17
"sj",2008,23,5
"sj",2008,24,0
"sj",2008,25,48
"sj",2008,26,13
"sj",2008,27,25
"sj",2008,28,19
"sj",2008,29,23
"sj",2008,30,39
"sj",2008,31,37
"sj",2008,32,71
"sj",2008,33,60
"sj",2008,34,58
"sj",2008,35,90
"sj",2008,36,118
"sj",2008,37,126
"sj",2008,38,75
"sj",2008,39,78
"sj",2008,40,94
"sj",2008,41,62
"sj",2008,42,77
"sj",2008,43,50
"sj",2008,44,43
"sj",2008,45,34
"sj",2008,46,57
"sj",2008,47,49
"sj",2008,48,37
"sj",2008,49,33
"sj",2008,50,27
"sj",2008,51,28
"sj",2008,52,21
"sj",2009,1,39
"sj",2009,2,20
"sj",2009,3,19
"sj",2009,4,20
"sj",2009,5,27
"sj",2009,6,8
"sj",2009,7,10
"sj",2009,8,9
"sj",2009,9,15
"sj",2009,10,5
"sj",2009,11,4
"sj",2009,12,15
"sj",2009,13,4
"sj",2009,14,4
"sj",2009,15,5
"sj",2009,16,2
"sj",2009,17,4
"sj",2009,18,9
"sj",2009,19,3
"sj",2009,20,7
"sj",2009,21,5
"sj",2009,22,6
"sj",2009,23,-3
"sj",2009,24,1
"sj",2009,25,6
"sj",2009,26,14
"sj",2009,27,22
"sj",2009,28,31
"sj",2009,29,45
"sj",2009,30,52
"sj",2009,31,60
"sj",2009,32,36
"sj",2009,33,54
"sj",2009,34,58
"sj",2009,35,96
"sj",2009,36,95
"sj",2009,37,74
"sj",2009,38,65
"sj",2009,39,41
"sj",2009,40,102
"sj",2009,41,108
"sj",2009,42,103
"sj",2009,43,67
"sj",2009,44,46
"sj",2009,45,34
"sj",2009,46,37
"sj",2009,47,52
"sj",2009,48,35
"sj",2009,49,66
"sj",2009,50,39
"sj",2009,51,43
"sj",2009,52,38
"sj",2010,53,41
"sj",2010,1,27
"sj",2010,2,21
"sj",2010,3,13
"sj",2010,4,23
"sj",2010,5,13
"sj",2010,6,20
"sj",2010,7,28
"sj",2010,8,13
"sj",2010,9,17
"sj",2010,10,7
"sj",2010,11,8
"sj",2010,12,-4
"sj",2010,13,8
"sj",2010,14,12
"sj",2010,15,5
"sj",2010,16,6
"sj",2010,17,15
"sj",2010,18,26
"sj",2010,19,1
"sj",2010,20,10
"sj",2010,21,10
"sj",2010,22,35
"sj",2010,23,30
"sj",2010,24,45
"sj",2010,25,29
"sj",2010,26,33
"sj",2010,27,51
"sj",2010,28,95
"sj",2010,29,29
"sj",2010,30,38
"sj",2010,31,56
"sj",2010,32,145
"sj",2010,33,100
"sj",2010,34,104
"sj",2010,35,181
"sj",2010,36,136
"sj",2010,37,121
"sj",2010,38,80
"sj",2010,39,70
"sj",2010,40,55
"sj",2010,41,81
"sj",2010,42,73
"sj",2010,43,57
"sj",2010,44,44
"sj",2010,45,39
"sj",2010,46,25
"sj",2010,47,32
"sj",2010,48,28
"sj",2010,49,51
"sj",2010,50,20
"sj",2010,51,23
"sj",2011,52,20
"sj",2011,1,19
"sj",2011,2,25
"sj",2011,3,25
"sj",2011,4,20
"sj",2011,5,13
"sj",2011,6,12
"sj",2011,7,-9
"sj",2011,8,10
"sj",2011,9,3
"sj",2011,10,7
"sj",2011,11,1
"sj",2011,12,3
"sj",2011,13,9
"sj",2011,14,14
"sj",2011,15,2
"sj",2011,16,1
"sj",2011,17,3
"sj",2011,18,5
"sj",2011,19,4
"sj",2011,20,4
"sj",2011,21,16
"sj",2011,22,25
"sj",2011,23,10
"sj",2011,24,57
"sj",2011,25,42
"sj",2011,26,22
"sj",2011,27,45
"sj",2011,28,46
"sj",2011,29,46
"sj",2011,30,100
"sj",2011,31,56
"sj",2011,32,102
"sj",2011,33,61
"sj",2011,34,136
"sj",2011,35,48
"sj",2011,36,89
"sj",2011,37,57
"sj",2011,38,65
"sj",2011,39,46
"sj",2011,40,114
"sj",2011,41,52
"sj",2011,42,45
"sj",2011,43,40
"sj",2011,44,67
"sj",2011,45,44
"sj",2011,46,28
"sj",2011,47,29
"sj",2011,48,57
"sj",2011,49,30
"sj",2011,50,23
"sj",2011,51,19
"sj",2012,52,23
"sj",2012,1,13
"sj",2012,2,16
"sj",2012,3,9
"sj",2012,4,22
"sj",2012,5,19
"sj",2012,6,10
"sj",2012,7,10
"sj",2012,8,20
"sj",2012,9,18
"sj",2012,10,6
"sj",2012,11,-12
